ID,Name,Genre,Creator(s),IMDb,Image,Description
1,Wilfred,Comedy,Jason Gann/David Zuckerman/Adam Zwar,https://www.imdb.com/title/tt1703925/ ,1.jpg,a man sees his neighbor's dog as a person
2,Psych,Procedural Comedy,Steve Franks,https://www.imdb.com/title/tt0491738/,2.jpg,two men pretend to use psychic abilities to solve mysteries for the police
3,Better Call Saul,Drama,Vince Gilligan/Peter Gould,https://www.imdb.com/title/tt3032476/,3.jpg,a lawyer struggles to make it in the Nevada business world
4,Breaking Bad,Drama,Vince Gilligan,https://www.imdb.com/title/tt0903747/,4.jpg,a high school chemistry teacher starts selling meth
5,The Wire,Drama,David Simon,https://www.imdb.com/title/tt0306414/,5.jpg,Baltimore's drug dealers conflict with the police
6,Grey's Anatomy,Procedural Drama,Shonda Rhimes,https://www.imdb.com/title/tt0413573/,6.jpg,hot doctors solve medical issues under high pressure
7,Evil,Procedural Drama,Michelle King/Robert King,https://www.imdb.com/title/tt9055008/,7.jpg,a forensic psychologist begins to investigate miracles for the catholic church
8,Peacemaker,Action/Comedy,James Gunn,https://www.imdb.com/title/tt13146488/,8.jpg,a superhero tries to save the world from aliens
9,Doom Patrol,Action,Jeremy Carver,https://www.imdb.com/title/tt8416494/,9.jpg,a group of superheroes try to rescue their mentor
10,Workaholics,Comedy,Blake Anderson/Adam Devine/Anders Holm/Kyle Newacheck,https://www.imdb.com/title/tt1610527/,10.jpg,three losers work at a telemarketing agency
11,It's Always Sunny in Philadelphia,Comedy,Rob McElhenney/Glenn Howerton,https://www.imdb.com/title/tt0472954/,11.jpg,five terrible people work at a bar together and it's hilarious
12,The League,Comedy,Jackie Marcus Schaffer/Jeff Schaffer,https://www.imdb.com/title/tt1480684/,12.jpg,a group of college friends compete in a fantasy football league
13,Nathan For You,Comedy,Nathan Fielder/Michael Koman,https://www.imdb.com/title/tt2297757/,13.jpg,a man helps struggling local businesses
14,Boston Legal,Comedy/Drama,David E. Kelley,https://www.imdb.com/title/tt0402711/,14.jpg,a group of lawyers run the biggest law firm in Boston
15,Monk,Procedural Comedy,Andy Breckman,https://www.imdb.com/title/tt0312172/,15.jpg,an everything-phobic detective solves murder mysteries
16,Last Week Tonight,News/Comedy,John Oliver,https://www.imdb.com/title/tt3530232/,16.jpg,a man recaps everything that happened in the past week
17,Saturday Night Live,Comedy,Lorne Michaels,https://www.imdb.com/title/tt0072562/,17.jpg,a group of performers does sketch comedy with a celebrity host
18,The Office,Comedy,Greg Daniels/Ricky Gervais/Stephen Merchant,https://www.imdb.com/title/tt0386676/,18.jpg,a group of employees work at a paper supply company
19,Parks and Recreation,Comedy,Greg Daniels/Michael Schur,https://www.imdb.com/title/tt1266020/,19.jpg,a group works together for the Parks and Rec department
20,Star Trek: Deep Space 9,Science Fiction Drama,Rick Berman/Michael Piller,https://www.imdb.com/title/tt0106145/,20.jpg,Star Fleet operates a station in the Bajoran sector
